arm,error_category,count,n_evaluable,rate_over_evaluable
A_zero_shot,hallucinated_stage,78,1000,0.078
A_zero_shot,wrong_stage_with_supporting_evidence,199,1000,0.199
A_zero_shot,evidence_span_not_found,372,1000,0.372
A_zero_shot,evidence_does_not_support_prediction,187,1000,0.187
A_zero_shot,missed_explicit_stage,0,1000,0.0
A_zero_shot,over_abstention,0,1000,0.0
A_zero_shot,invalid_normalization,153,1000,0.153
A_zero_shot,invalid_schema_output,0,1000,0.0
A_zero_shot,other,0,1000,0.0
C_constrained,hallucinated_stage,43,1000,0.043
C_constrained,wrong_stage_with_supporting_evidence,223,1000,0.223
C_constrained,evidence_span_not_found,287,1000,0.287
C_constrained,evidence_does_not_support_prediction,276,1000,0.276
C_constrained,missed_explicit_stage,0,1000,0.0
C_constrained,over_abstention,0,1000,0.0
C_constrained,invalid_normalization,0,1000,0.0
C_constrained,invalid_schema_output,0,1000,0.0
C_constrained,other,0,1000,0.0
C_plus_unknown,hallucinated_stage,29,1000,0.029
C_plus_unknown,wrong_stage_with_supporting_evidence,145,1000,0.145
C_plus_unknown,evidence_span_not_found,161,1000,0.161
C_plus_unknown,evidence_does_not_support_prediction,167,1000,0.167
C_plus_unknown,missed_explicit_stage,0,1000,0.0
C_plus_unknown,over_abstention,0,1000,0.0
C_plus_unknown,invalid_normalization,0,1000,0.0
C_plus_unknown,invalid_schema_output,0,1000,0.0
C_plus_unknown,other,0,1000,0.0
D_grounded,hallucinated_stage,36,1000,0.036
D_grounded,wrong_stage_with_supporting_evidence,217,1000,0.217
D_grounded,evidence_span_not_found,89,1000,0.089
D_grounded,evidence_does_not_support_prediction,227,1000,0.227
D_grounded,missed_explicit_stage,0,1000,0.0
D_grounded,over_abstention,0,1000,0.0
D_grounded,invalid_normalization,0,1000,0.0
D_grounded,invalid_schema_output,0,1000,0.0
D_grounded,other,0,1000,0.0
